Ticker,ETF_flag
SPY,1
UWT,0
XLF,1
BAC,0
USO,1
F,0
GE,0
AMLP,1
QQQ,1
T,0
AMD,0
SQQQ,1
AAPL,0
EEM,1
TQQQ,1
CHK,0
JNUG,1
MFST,0
TNXP,0
CCL,0
XOM,0
UBER,0
IWM,1
XOP,1
NOVN,0
WFC,0
GDX,1
ET,0
EFA,1
QILU,1
AAL,0
IEMG,1
VXX,1
XLE,1
SIRI,0
MGM,0
HYG,1
DAL,0
VEA,1
ITUB,0
SNAP,0
NUGT,1
INTC,0
KO,0
FXI,1
OXY,0
NIO,0
VWO,1
PFE,0
NOK,0
HAL,0
CSCO,0
MRO,0
CMCSA,0
UCO,1
VZ,0
EWZ,1
GUSH,1
ABEV,0
XLK,1
TEVA,0
SPXS,1
BA,0
SLV,1
CZR,0
IEFA,1
ACB,0
KMI,0
SPXL,1
FCX,0
TGE,0
AUY,0
S,0
PENN,0
PBR,0
C,0
RIG,0
MU,0
NBL,0
UAL,0
SWN,0
VALE,0
GM,0
GILD,0
WTRH,0
NYMT,1
OPK,0
SLB,0
FB,0
HST,1
DIS,0
NLY,1
GDXJ,1
KGC,0
JPM,0
SH,1
WPX,0
IAU,1
LQD,0
BBD,0